_id;qtd;userId;createdAt;__v
5c75f18ba37a415d9b7c3521;0;5c75f18ba37a415d9b7c3520;27/02/2019 02:10:19;0;
5c75f21be692915daa5b63ff;0;5c75f21be692915daa5b63fe;27/02/2019 02:12:43;0;
5c75f5361fde27602aace58e;0;5c75f5361fde27602aace58d;27/02/2019 02:25:58;0;
5c796f8937b1577162ef2e40;0;5c796f8937b1577162ef2e3f;01/03/2019 17:44:41;0;
5c87b50440d5cf7187534b8f;0;5c87b50440d5cf7187534b8e;12/03/2019 13:32:52;0;
5c8a32f2f4374b71533e6e07;340;5c8a32f2f4374b71533e6e06;14/03/2019 10:54:42;0;05/07/2021 17:33:41;
5c8a33f837b1577162ef2e4f;175;5c8a33f837b1577162ef2e4e;14/03/2019 10:59:04;0;
5c8b3a2df4374b71533e6e15;0;5c8b3a2df4374b71533e6e14;15/03/2019 05:37:49;0;
5c8b723540d5cf7187534ba1;0;5c8b723540d5cf7187534ba0;15/03/2019 09:36:53;0;
5c8be84340d5cf7187534baa;235;5c8be84340d5cf7187534ba9;15/03/2019 18:00:35;0;
5c8bebbd40d5cf7187534baf;0;5c8bebbd40d5cf7187534bae;15/03/2019 18:15:25;0;
5c8f999af4374b71533e6e3a;0;5c8f999af4374b71533e6e39;18/03/2019 13:14:02;0;
5c8fd58837b1577162ef2e71;50;5c8fd58837b1577162ef2e70;18/03/2019 17:29:44;0;
5c93b28bf4374b71533e6e3d;0;5c93b28bf4374b71533e6e3c;21/03/2019 15:49:31;0;
5c9923c1d1885e0da865e380;0;5c9923c1d1885e0da865e37f;25/03/2019 18:53:53;0;
5ca3ac357c727e30966c4512;0;5ca3ac357c727e30966c4511;02/04/2019 18:38:45;0;
5cababb9dafe9b09c53af5e8;0;5cababb9dafe9b09c53af5e7;08/04/2019 20:14:49;0;
5cadd603f6992c09b51afd4e;320;5cadd603f6992c09b51afd4d;10/04/2019 11:39:47;0;
5cadf18faaae2d3bb71ee621;0;5cadf18faaae2d3bb71ee620;10/04/2019 13:37:19;0;
5cadfc0801406c3bc62e2c4b;0;5cadfc0801406c3bc62e2c4a;10/04/2019 14:22:00;0;
5cadfd30aaae2d3bb71ee624;0;5cadfd30aaae2d3bb71ee623;10/04/2019 14:26:56;0;
5cadfe4aaaae2d3bb71ee627;0;5cadfe4aaaae2d3bb71ee626;10/04/2019 14:31:38;0;
5cae0308aaae2d3bb71ee62a;0;5cae0308aaae2d3bb71ee629;10/04/2019 14:51:52;0;
5cae365b01406c3bc62e2c52;0;5cae365b01406c3bc62e2c51;10/04/2019 18:30:51;0;
5caf40f8aaae2d3bb71ee636;0;5caf40f8aaae2d3bb71ee635;11/04/2019 13:28:24;0;
5caf4e6872426a3bec2768a8;0;5caf4e6872426a3bec2768a7;11/04/2019 14:25:44;0;
5caf4fbe01406c3bc62e2c62;0;5caf4fbe01406c3bc62e2c61;11/04/2019 14:31:26;0;
