_id;qtd;used;code;benefitId;createdAt;__v
5cb60f77aaae2d3bb71eeab1;1;;438653-42E58818400;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eeab2;1;;438654-416DAD31C88;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eeab3;1;;438655-479B648A336;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eeab4;1;;438656-4002E669145;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eeab5;1;;438657-477480E4ADA;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eeab6;1;;438658-4F037B56E3E;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eeab7;1;;438659-49A56F6BFE1;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eeab8;1;;438660-40C3EEA7D56;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eeab9;1;;438661-45F054EE21A;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eeaba;1;;438662-454A7FACB6E;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eeabb;1;;438663-48990584978;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eeabc;1;;438664-4660F4C0C57;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eeabd;1;;438665-495FEBD2200;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eeabe;1;;438666-4024F8B72EF;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eeabf;1;;438667-4CB80408CBF;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eeac0;1;;438668-484FD4891EC;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eeac1;1;;438669-481624E40EC;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eeac2;1;;438670-41807508F2B;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eeac3;1;;438671-44EFBF581C0;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eeac4;1;;438672-4AA2F0DAEBE;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eeac5;1;;438673-480A6FF0608;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eeac6;1;;438674-43DD97C21CB;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eeac7;1;;438675-47BAF39FA4D;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eeac8;1;;438676-4F5651498D8;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eeac9;1;;438677-432031C50B6;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eeaca;1;;438678-4EED3FFC212;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eeacb;1;;438679-4541805F87E;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eeacc;1;;438680-49C180C544C;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eeacd;1;;438681-4EEAE1433C8;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eeace;1;;438682-4297518A499;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eeacf;1;;438683-43DFE38AD4D;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eead0;1;;438684-48E2CFF3FE1;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eead1;1;;438685-4759054DB62;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eead2;1;;438686-4AB98F93799;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eead3;1;;438687-4C1E27E663B;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eead4;1;;438688-4BC8D742354;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eead5;1;;438689-470FCA3C27E;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eead7;1;;438691-45229445EBF;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eead6;1;;438690-486C4D91984;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
